sku,config,model,d_model_or_resnet,technode,cellBit,subArray,numColMuxed,levelOutput,operationmode,blocks,chipArea_mm2,arrayArea_mm2,adcArea_um2,memUtil_pct,arrayFrac_pct,adcFrac_pct,unit_params_M,macroDensity_Mb_per_mm2
mini,E_22nm_2bit_256sub_16mux_16lvl_par,ResNet18,0,22,2,256,16,16,2,1,72.3667,4.96955,1.05906e+07,71.259,6.8600,0,11.7,1.2934
mini,E_22nm_3bit_256sub_16mux_16lvl_par,ResNet18,0,22,3,256,16,16,2,1,72.1846,4.96955,1.05906e+07,53.4443,6.8800,0,11.7,1.2966
mini,F_22nm_2bit_512sub_32mux_16lvl_par,ResNet18,0,22,2,512,32,16,2,1,126.196,15.9805,1.01527e+07,39.8577,12.6600,0,11.7,.7417
mini,F_22nm_3bit_512sub_32mux_16lvl_par,ResNet18,0,22,3,512,32,16,2,1,126.045,15.9805,1.01527e+07,29.8933,12.6700,0,11.7,.7425
mid,M1_22nm_2bit_512sub_32mux_16lvl_seq,Qwen35_9B,4096,22,2,512,32,16,1,32,85.9217,17.1498,2.17911e+06,96.0227,19.9500,0,177.2,16.4987
mid,M1_22nm_3bit_512sub_32mux_16lvl_seq,Qwen35_9B,4096,22,3,512,32,16,1,32,71.973,13.2521,3.92899e+06,93.1985,18.4100,0,177.2,19.6962
mid,M3_22nm_2bit_512sub_16mux_32lvl_par,Qwen35_9B,4096,22,2,512,16,32,2,32,119.058,17.1498,3.77663e+07,96.0227,14.4000,0,177.2,11.9068
mid,M3_22nm_3bit_512sub_16mux_32lvl_par,Qwen35_9B,4096,22,3,512,16,32,2,32,94.6307,13.2521,2.9183e+07,93.1985,14.0000,0,177.2,14.9803
mid,M1_22nm_2bit_512sub_32mux_16lvl_seq,Qwen3VL_30B_A3B,2048,22,2,512,32,16,1,28,22.8616,4.28745,544776,97.7273,18.7500,2.3800,45.1,15.7819
mid,M1_22nm_3bit_512sub_32mux_16lvl_seq,Qwen3VL_30B_A3B,2048,22,3,512,32,16,1,28,19.2155,3.41047,1.01114e+06,92.1429,17.7400,0,45.1,18.7765
mid,M3_22nm_2bit_512sub_16mux_32lvl_par,Qwen3VL_30B_A3B,2048,22,2,512,16,32,2,28,31.2946,4.28745,9.44157e+06,97.7273,13.7000,0,45.1,11.5291
mid,M3_22nm_3bit_512sub_16mux_32lvl_par,Qwen3VL_30B_A3B,2048,22,3,512,16,32,2,28,25.1495,3.41047,7.51034e+06,92.1429,13.5600,0,45.1,14.3462
pro,P1_22nm_2bit_256sub_16mux_32lvl_par_x6L,Qwen35_27B,5120,22,2,256,16,32,2,48,341.567,25.8221,1.13728e+08,99.0566,7.5500,0,275.3,6.4479
pro,P1_22nm_3bit_256sub_16mux_32lvl_par_x6L,Qwen35_27B,5120,22,3,256,16,32,2,48,252.523,19.4884,8.58324e+07,98.4375,7.7100,0,275.3,8.7215
pro,P3_22nm_2bit_512sub_32mux_16lvl_seq_x6L,Qwen35_27B,5120,22,2,512,32,16,1,48,154.516,29.6224,3.76391e+06,86.3487,19.1700,0,275.3,14.2535
pro,P3_22nm_3bit_512sub_32mux_16lvl_seq_x6L,Qwen35_27B,5120,22,3,512,32,16,1,48,125.277,23.581,6.9913e+06,81.3533,18.8200,0,275.3,17.5802
pro,P1_22nm_2bit_256sub_16mux_32lvl_par_x6L,Qwen35_35B_A3B,2560,22,2,256,16,32,2,32,100.591,7.4056,3.26163e+07,86.3487,7.3600,0,68.8,5.4716
pro,P1_22nm_3bit_256sub_16mux_32lvl_par_x6L,Qwen35_35B_A3B,2560,22,3,256,16,32,2,32,77.6203,5.89525,2.59643e+07,81.3533,7.5900,0,68.8,7.0909
pro,P3_22nm_2bit_512sub_32mux_16lvl_seq_x6L,Qwen35_35B_A3B,2560,22,2,512,32,16,1,32,51.9448,9.74421,1.23813e+06,65.625,18.7500,0,68.8,10.5958
pro,P3_22nm_3bit_512sub_32mux_16lvl_seq_x6L,Qwen35_35B_A3B,2560,22,3,512,32,16,1,32,43.8896,7.79537,2.31117e+06,61.5234,17.7600,0,68.8,12.5405
