config,model,d_model,d_ff,technode,cellBit,subArray,numColMuxed,levelOutput,operationmode,blocks_full,chipArea_mm2_per_block,arrayArea_mm2_per_block,adcArea_um2,memUtil_pct,arrayFrac_pct,adcFrac_pct,block_params_M,macroDensity_Mb_per_mm2
P1_22nm_4bit_256sub_16mux_32lvl_par_x6L,Qwen35_27B,5120,13824,22,4,256,16,32,2,48,169.165,12.9111,5.6864e+07,99.0566,7.6300,0,275.3,13.0192
P2_22nm_4bit_256sub_16mux_16lvl_par_x6L,Qwen35_27B,5120,13824,22,4,256,16,16,2,48,138.084,12.9111,2.75148e+07,99.0566,9.3500,0,275.3,15.9497
P3_22nm_4bit_512sub_32mux_16lvl_seq_x6L,Qwen35_27B,5120,13824,22,4,512,32,16,1,48,86.9468,15.1035,9.59549e+06,84.6774,17.3700,0,275.3,25.3304
P4_22nm_4bit_256sub_16mux_32lvl_par_x8L,Qwen35_27B,5120,13824,22,4,256,16,32,2,48,169.165,12.9111,5.6864e+07,99.0566,7.6300,0,275.3,13.0192
P5_14nm_4bit_256sub_16mux_32lvl_par_x6L,Qwen35_27B,5120,13824,14,4,256,16,32,2,48,97.9069,5.22845,3.0368e+07,99.0566,5.3400,0,275.3,22.4948
P1_22nm_4bit_256sub_16mux_32lvl_par_x6L,Qwen35_35B_A3B,2560,6912,22,4,256,16,32,2,32,50.6036,3.77588,1.663e+07,84.6774,7.4600,0,68.8,10.8766
P2_22nm_4bit_256sub_16mux_16lvl_par_x6L,Qwen35_35B_A3B,2560,6912,22,4,256,16,16,2,32,41.4121,3.77588,8.04679e+06,84.6774,9.1100,0,68.8,13.2908
P3_22nm_4bit_512sub_32mux_16lvl_seq_x6L,Qwen35_35B_A3B,2560,6912,22,4,512,32,16,1,32,31.7273,5.45676,3.46676e+06,60.8259,17.1900,0,68.8,17.3478
P4_22nm_4bit_256sub_16mux_32lvl_par_x8L,Qwen35_35B_A3B,2560,6912,22,4,256,16,32,2,32,50.6036,3.77588,1.663e+07,84.6774,7.4600,0,68.8,10.8766
P5_14nm_4bit_256sub_16mux_32lvl_par_x6L,Qwen35_35B_A3B,2560,6912,14,4,256,16,32,2,32,29.0955,1.52908,8.88119e+06,84.6774,5.2500,0,68.8,18.9170
